id,category,difficulty,question,option_a,option_b,option_c,option_d,correct_option,explanation,image
751,"Kimia","mudah","Simbol kimia air adalah apa?","H2O","CO2","O2","NaCl","A","Air memiliki rumus kimia H2O, terdiri dari dua atom hidrogen dan satu atom oksigen.",""
752,"Kimia","mudah","Simbol kimia oksigen adalah apa?","O2","H2O","CO2","NaCl","A","Oksigen di udara umumnya berbentuk molekul O2.",""
753,"Kimia","mudah","Simbol kimia karbon dioksida adalah apa?","CO2","O2","H2","NaCl","A","Karbon dioksida memiliki rumus kimia CO2.",""
754,"Kimia","mudah","Simbol kimia garam dapur adalah apa?","NaCl","HCl","KOH","CaCO3","A","Garam dapur tersusun dari natrium dan klorin, sehingga rumusnya NaCl.",""
755,"Kimia","mudah","Simbol kimia hidrogen adalah apa?","H","O","N","C","A","H adalah simbol unsur hidrogen.",""
756,"Kimia","mudah","Simbol kimia karbon adalah apa?","C","Ca","Cl","K","A","C adalah simbol unsur karbon.",""
757,"Kimia","mudah","Simbol kimia nitrogen adalah apa?","N","Na","Ni","Ne","A","N adalah simbol unsur nitrogen.",""
758,"Kimia","mudah","Simbol kimia natrium adalah apa?","Na","N","Ni","Ne","A","Na adalah simbol unsur natrium.",""
759,"Kimia","mudah","Simbol kimia besi adalah apa?","Fe","F","Be","Br","A","Fe adalah simbol unsur besi dari nama Latin ferrum.",""
760,"Kimia","mudah","Simbol kimia emas adalah apa?","Au","Ag","Al","Ar","A","Au adalah simbol unsur emas dari nama Latin aurum.",""
761,"Kimia","mudah","Simbol kimia perak adalah apa?","Ag","Au","Al","Ar","A","Ag adalah simbol unsur perak dari nama Latin argentum.",""
762,"Kimia","mudah","Simbol kimia tembaga adalah apa?","Cu","Ca","Cl","Co","A","Cu adalah simbol unsur tembaga dari nama Latin cuprum.",""
763,"Kimia","mudah","Simbol kimia kalsium adalah apa?","Ca","C","Cu","Cl","A","Ca adalah simbol unsur kalsium.",""
764,"Kimia","mudah","Simbol kimia klorin adalah apa?","Cl","C","Ca","Co","A","Cl adalah simbol unsur klorin.",""
765,"Kimia","mudah","Simbol kimia helium adalah apa?","He","H","Hg","Ho","A","He adalah simbol unsur helium.",""
766,"Kimia","sedang","Zat dengan pH kurang dari 7 disebut apa?","Asam","Basa","Netral","Logam","A","Larutan asam memiliki pH kurang dari 7.",""
767,"Kimia","sedang","Zat dengan pH lebih dari 7 disebut apa?","Basa","Asam","Netral","Garam saja","A","Larutan basa memiliki pH lebih dari 7.",""
768,"Kimia","sedang","Air murni memiliki pH sekitar berapa?","7","1","3","14","A","Air murni bersifat netral dengan pH sekitar 7.",""
769,"Kimia","sedang","Indikator lakmus biru berubah merah dalam larutan apa?","Asam","Basa","Netral","Minyak","A","Larutan asam mengubah lakmus biru menjadi merah.",""
770,"Kimia","sedang","Indikator lakmus merah berubah biru dalam larutan apa?","Basa","Asam","Netral","Gula","A","Larutan basa mengubah lakmus merah menjadi biru.",""
771,"Kimia","sedang","Campuran yang komposisinya seragam disebut apa?","Homogen","Heterogen","Suspensi kasar","Endapan","A","Campuran homogen memiliki komposisi yang seragam di seluruh bagian.",""
772,"Kimia","sedang","Campuran yang komposisinya tidak seragam disebut apa?","Heterogen","Homogen","Unsur murni","Senyawa tunggal","A","Campuran heterogen memiliki bagian yang masih dapat dibedakan.",""
773,"Kimia","sedang","Zat tunggal yang tidak dapat diuraikan lagi secara kimia biasa disebut apa?","Unsur","Senyawa","Larutan","Campuran","A","Unsur adalah zat tunggal yang tersusun dari satu jenis atom.",""
774,"Kimia","sedang","Gabungan dua atau lebih unsur secara kimia disebut apa?","Senyawa","Unsur","Campuran kasar","Larutan gula","A","Senyawa terbentuk dari unsur-unsur yang berikatan secara kimia.",""
775,"Kimia","sedang","Perubahan air menjadi es termasuk perubahan apa?","Fisika","Kimia","Biologi","Nuklir","A","Membeku hanya mengubah wujud air, bukan susunan kimianya.",""
776,"Kimia","sedang","Besi berkarat termasuk perubahan apa?","Kimia","Fisika","Mekanika","Optik","A","Karat terbentuk karena reaksi kimia antara besi, oksigen, dan air.",""
777,"Kimia","sedang","Kertas dibakar termasuk perubahan apa?","Kimia","Fisika","Elastis","Sementara","A","Pembakaran menghasilkan zat baru seperti abu dan gas, sehingga termasuk perubahan kimia.",""
778,"Kimia","sedang","Gula larut dalam air membentuk apa?","Larutan","Unsur","Logam","Gas mulia","A","Gula yang larut dalam air membentuk campuran homogen atau larutan.",""
779,"Kimia","sedang","Pelarut dalam larutan gula biasanya adalah apa?","Air","Gula","Garam","Pasir","A","Dalam larutan gula, air berperan sebagai pelarut.",""
780,"Kimia","sedang","Zat yang jumlahnya lebih sedikit dan larut disebut apa?","Zat terlarut","Pelarut","Endapan","Katalis selalu","A","Zat terlarut adalah zat yang dilarutkan dalam pelarut.",""
781,"Kimia","sulit","Partikel bermuatan positif dalam atom disebut apa?","Proton","Elektron","Neutron","Molekul","A","Proton adalah partikel subatom bermuatan positif.",""
782,"Kimia","sulit","Partikel bermuatan negatif dalam atom disebut apa?","Elektron","Proton","Neutron","Ion positif","A","Elektron adalah partikel subatom bermuatan negatif.",""
783,"Kimia","sulit","Partikel atom yang tidak bermuatan disebut apa?","Neutron","Proton","Elektron","Kation","A","Neutron adalah partikel subatom yang tidak bermuatan listrik.",""
784,"Kimia","sulit","Atom yang kehilangan elektron akan menjadi apa?","Kation","Anion","Neutron","Molekul netral selalu","A","Atom yang kehilangan elektron menjadi ion positif atau kation.",""
785,"Kimia","sulit","Atom yang menerima elektron akan menjadi apa?","Anion","Kation","Proton","Isotop selalu","A","Atom yang menerima elektron menjadi ion negatif atau anion.",""
786,"Kimia","sulit","Tabel yang menyusun unsur berdasarkan nomor atom disebut apa?","Tabel periodik","Tabel logika","Tabel cuaca","Tabel ekonomi","A","Tabel periodik menyusun unsur berdasarkan nomor atom dan sifat periodik.",""
787,"Kimia","sulit","Reaksi antara asam dan basa umumnya menghasilkan garam dan apa?","Air","Oksigen saja","Besi","Karbon","A","Netralisasi asam-basa menghasilkan garam dan air.",""
788,"Kimia","sulit","Zat yang mempercepat reaksi tanpa habis bereaksi disebut apa?","Katalis","Endapan","Pelarut","Indikator","A","Katalis mempercepat reaksi dan tidak habis dalam reaksi tersebut.",""
789,"Kimia","sulit","Reaksi yang melepaskan panas disebut apa?","Eksoterm","Endoterm","Netral","Difusi","A","Reaksi eksoterm melepaskan energi panas ke lingkungan.",""
790,"Kimia","sulit","Reaksi yang menyerap panas disebut apa?","Endoterm","Eksoterm","Evaporasi saja","Kondensasi","A","Reaksi endoterm menyerap energi panas dari lingkungan.",""
791,"Kimia","sulit","Jumlah proton dalam inti atom disebut apa?","Nomor atom","Nomor massa","Massa jenis","Bilangan oksidasi saja","A","Nomor atom menunjukkan jumlah proton dalam inti atom.",""
792,"Kimia","sulit","Jumlah proton dan neutron dalam atom disebut apa?","Nomor massa","Nomor atom","Massa larutan","pH","A","Nomor massa adalah jumlah proton dan neutron.",""
793,"Kimia","sulit","Unsur dengan sifat logam dan nonlogam disebut apa?","Metaloid","Gas mulia","Halogen","Alkali saja","A","Metaloid memiliki sifat antara logam dan nonlogam.",""
794,"Kimia","sulit","Golongan 18 pada tabel periodik dikenal sebagai apa?","Gas mulia","Logam alkali","Halogen","Lantanida","A","Golongan 18 disebut gas mulia karena relatif stabil dan kurang reaktif.",""
795,"Kimia","sulit","Ikatan yang terbentuk karena serah terima elektron disebut apa?","Ikatan ion","Ikatan kovalen","Ikatan logam","Ikatan hidrogen saja","A","Ikatan ion terjadi melalui perpindahan elektron antara atom.",""
796,"Kimia","sulit","Ikatan yang terbentuk karena pemakaian bersama pasangan elektron disebut apa?","Ikatan kovalen","Ikatan ion","Ikatan logam","Ikatan mekanik","A","Ikatan kovalen terjadi saat atom berbagi pasangan elektron.",""
797,"Kimia","sulit","Pemisahan campuran berdasarkan perbedaan titik didih disebut apa?","Distilasi","Filtrasi","Sublimasi","Dekantasi","A","Distilasi memisahkan zat berdasarkan perbedaan titik didih.",""
798,"Kimia","sulit","Pemisahan campuran padat-cair dengan penyaring disebut apa?","Filtrasi","Distilasi","Kromatografi","Evaporasi","A","Filtrasi memisahkan padatan dari cairan menggunakan penyaring.",""
799,"Kimia","sulit","Teknik pemisahan warna tinta pada kertas disebut apa?","Kromatografi","Filtrasi","Distilasi","Kristalisasi","A","Kromatografi dapat memisahkan komponen warna berdasarkan perbedaan kelarutan dan daya serap.",""
800,"Kimia","sulit","Pembentukan kristal dari larutan disebut apa?","Kristalisasi","Kondensasi","Oksidasi","Reduksi","A","Kristalisasi adalah proses pembentukan kristal dari larutan.",""
801,"Fisika","mudah","Satuan panjang dalam SI adalah apa?","Meter","Kilogram","Detik","Ampere","A","Meter adalah satuan dasar SI untuk panjang.",""
802,"Fisika","mudah","Satuan massa dalam SI adalah apa?","Kilogram","Meter","Detik","Kelvin","A","Kilogram adalah satuan dasar SI untuk massa.",""
803,"Fisika","mudah","Satuan waktu dalam SI adalah apa?","Detik","Jam","Menit","Hari","A","Detik adalah satuan dasar SI untuk waktu.",""
804,"Fisika","mudah","Satuan suhu dalam SI adalah apa?","Kelvin","Celsius","Fahrenheit","Newton","A","Kelvin adalah satuan dasar SI untuk suhu termodinamika.",""
805,"Fisika","mudah","Alat untuk mengukur massa adalah apa?","Neraca","Termometer","Barometer","Voltmeter","A","Neraca digunakan untuk mengukur massa benda.",""
806,"Fisika","mudah","Alat untuk mengukur suhu adalah apa?","Termometer","Neraca","Mistar","Amperemeter","A","Termometer digunakan untuk mengukur suhu.",""
807,"Fisika","mudah","Alat untuk mengukur kuat arus listrik adalah apa?","Amperemeter","Voltmeter","Barometer","Mikrometer","A","Amperemeter digunakan untuk mengukur kuat arus listrik.",""
808,"Fisika","mudah","Alat untuk mengukur tegangan listrik adalah apa?","Voltmeter","Amperemeter","Termometer","Neraca","A","Voltmeter digunakan untuk mengukur tegangan listrik.",""
809,"Fisika","mudah","Gaya tarik Bumi pada benda disebut apa?","Gravitasi","Magnet","Gesekan","Elastis","A","Gravitasi adalah gaya tarik antara benda bermassa, termasuk Bumi terhadap benda.",""
810,"Fisika","mudah","Gaya yang menghambat gerak dua permukaan bersentuhan disebut apa?","Gesekan","Gravitasi","Pegas","Magnet","A","Gaya gesek muncul ketika dua permukaan bersentuhan dan menghambat gerak relatif.",""
811,"Fisika","mudah","Benda yang dapat menarik besi disebut apa?","Magnet","Karet","Kaca","Kayu","A","Magnet dapat menarik bahan tertentu seperti besi.",""
812,"Fisika","mudah","Energi dari benda bergerak disebut apa?","Energi kinetik","Energi potensial","Energi kimia","Energi bunyi","A","Energi kinetik adalah energi yang dimiliki benda karena geraknya.",""
813,"Fisika","mudah","Energi karena posisi atau ketinggian disebut apa?","Energi potensial","Energi kinetik","Energi panas","Energi cahaya","A","Energi potensial dipengaruhi posisi atau ketinggian benda.",""
814,"Fisika","mudah","Bunyi merambat paling baik melalui apa dibanding ruang hampa?","Medium","Kegelapan","Vakum","Warna","A","Bunyi membutuhkan medium seperti udara, air, atau padatan untuk merambat.",""
815,"Fisika","mudah","Cahaya merambat dalam garis apa pada medium homogen?","Lurus","Melengkung selalu","Melingkar","Berputar","A","Cahaya merambat lurus dalam medium homogen.",""
816,"Fisika","sedang","Rumus kecepatan adalah apa?","Jarak dibagi waktu","Massa dikali suhu","Gaya dibagi volume","Energi dikali warna","A","Kecepatan dihitung dari jarak yang ditempuh dibagi waktu tempuh.",""
817,"Fisika","sedang","Jika jarak 100 meter ditempuh 20 detik, kecepatannya berapa?","5 m/s","10 m/s","20 m/s","2 m/s","A","Kecepatan = 100 meter : 20 detik = 5 m/s.",""
818,"Fisika","sedang","Rumus massa jenis adalah apa?","Massa dibagi volume","Volume dibagi massa","Gaya dikali waktu","Suhu dibagi luas","A","Massa jenis adalah massa per satuan volume.",""
819,"Fisika","sedang","Jika massa 20 kg dan volume 4 m3, massa jenisnya berapa?","5 kg/m3","4 kg/m3","16 kg/m3","80 kg/m3","A","Massa jenis = 20 : 4 = 5 kg/m3.",""
820,"Fisika","sedang","Rumus tekanan adalah apa?","Gaya dibagi luas","Massa dibagi waktu","Volume dibagi suhu","Jarak dikali waktu","A","Tekanan adalah gaya yang bekerja pada tiap satuan luas.",""
821,"Fisika","sedang","Satuan tekanan dalam SI adalah apa?","Pascal","Newton","Joule","Watt","A","Tekanan dalam SI diukur dengan satuan Pascal.",""
822,"Fisika","sedang","Satuan daya dalam SI adalah apa?","Watt","Joule","Newton","Ohm","A","Daya dalam SI diukur dengan satuan Watt.",""
823,"Fisika","sedang","Daya adalah energi per satuan apa?","Waktu","Massa","Volume","Suhu","A","Daya menyatakan laju penggunaan atau perubahan energi per satuan waktu.",""
824,"Fisika","sedang","Hukum Newton I berkaitan dengan sifat apa?","Kelembaman","Pemuaian","Pembiasan","Induksi","A","Hukum Newton I menjelaskan kecenderungan benda mempertahankan keadaan geraknya atau kelembaman.",""
825,"Fisika","sedang","Hukum Newton II sering ditulis dengan rumus apa?","F = m x a","P = V x I","v = s x t","rho = V/m","A","Hukum Newton II menyatakan gaya sama dengan massa dikali percepatan.",""
826,"Fisika","sedang","Gaya aksi dan reaksi dibahas dalam hukum Newton ke berapa?","Ketiga","Pertama","Kedua","Keempat","A","Hukum Newton III menjelaskan pasangan gaya aksi dan reaksi.",""
827,"Fisika","sedang","Perubahan ukuran benda karena panas disebut apa?","Pemuaian","Pembekuan","Pembiasan","Pelapukan","A","Pemuaian terjadi ketika benda bertambah ukuran akibat kenaikan suhu.",""
828,"Fisika","sedang","Perpindahan panas melalui zat tanpa perpindahan partikel disebut apa?","Konduksi","Konveksi","Radiasi","Evaporasi","A","Konduksi adalah perpindahan panas melalui medium tanpa perpindahan massa zat secara keseluruhan.",""
829,"Fisika","sedang","Perpindahan panas disertai perpindahan zat disebut apa?","Konveksi","Konduksi","Radiasi","Refleksi","A","Konveksi terjadi ketika panas berpindah bersama aliran zat, seperti udara atau air.",""
830,"Fisika","sedang","Perpindahan panas tanpa medium disebut apa?","Radiasi","Konduksi","Konveksi","Kondensasi","A","Radiasi dapat membawa panas tanpa medium, misalnya panas Matahari sampai ke Bumi.",""
831,"Fisika","sulit","Pembelokan cahaya saat melewati dua medium berbeda disebut apa?","Pembiasan","Pemantulan","Difusi","Konduksi","A","Pembiasan terjadi karena cahaya berubah kecepatan saat masuk ke medium berbeda.",""
832,"Fisika","sulit","Kembalinya cahaya setelah mengenai permukaan disebut apa?","Pemantulan","Pembiasan","Pemuaian","Induksi","A","Pemantulan adalah peristiwa cahaya kembali setelah mengenai permukaan.",""
833,"Fisika","sulit","Lensa cembung bersifat apa terhadap sinar sejajar?","Mengumpulkan cahaya","Menyebarkan cahaya","Menghilangkan cahaya","Mengubah cahaya jadi bunyi","A","Lensa cembung bersifat konvergen atau mengumpulkan sinar.",""
834,"Fisika","sulit","Lensa cekung bersifat apa terhadap sinar sejajar?","Menyebarkan cahaya","Mengumpulkan cahaya","Memantulkan sempurna","Mengubah warna selalu","A","Lensa cekung bersifat divergen atau menyebarkan sinar.",""
835,"Fisika","sulit","Bunyi dengan frekuensi di atas 20000 Hz disebut apa?","Ultrasonik","Infrasonik","Audiosonik","Resonansi","A","Ultrasonik adalah bunyi dengan frekuensi di atas batas pendengaran manusia.",""
836,"Fisika","sulit","Bunyi dengan frekuensi di bawah 20 Hz disebut apa?","Infrasonik","Ultrasonik","Audiosonik","Nada tinggi","A","Infrasonik adalah bunyi dengan frekuensi di bawah 20 Hz.",""
837,"Fisika","sulit","Frekuensi bunyi yang dapat didengar manusia umumnya disebut apa?","Audiosonik","Ultrasonik","Infrasonik","Elektromagnetik","A","Audiosonik adalah rentang bunyi yang dapat didengar manusia.",""
838,"Fisika","sulit","Rangkaian listrik yang hanya memiliki satu jalur arus disebut apa?","Seri","Paralel","Campuran terbuka","Induksi","A","Rangkaian seri memiliki satu jalur arus listrik.",""
839,"Fisika","sulit","Rangkaian listrik yang memiliki lebih dari satu jalur arus disebut apa?","Paralel","Seri","Tunggal","Terputus","A","Rangkaian paralel menyediakan beberapa jalur bagi arus listrik.",""
840,"Fisika","sulit","Hambatan listrik diukur dengan satuan apa?","Ohm","Volt","Ampere","Watt","A","Ohm adalah satuan hambatan listrik.",""
841,"Fisika","sulit","Hukum Ohm menyatakan hubungan V, I, dan R sebagai apa?","V = I x R","I = V x R","R = V x I","V = R/I","A","Hukum Ohm menyatakan tegangan sama dengan arus dikali hambatan.",""
842,"Fisika","sulit","Medan magnet paling kuat pada magnet batang berada di bagian apa?","Kutub","Tengah selalu","Sisi datar","Seluruh bagian sama persis","A","Medan magnet paling kuat berada di dekat kutub magnet.",""
843,"Fisika","sulit","Generator mengubah energi mekanik menjadi energi apa?","Listrik","Kimia","Cahaya bulan","Nuklir langsung","A","Generator mengubah energi gerak atau mekanik menjadi energi listrik.",""
844,"Fisika","sulit","Motor listrik mengubah energi listrik menjadi energi apa?","Gerak","Kimia","Bunyi saja","Panas saja","A","Motor listrik mengubah energi listrik menjadi energi gerak.",""
845,"Fisika","sulit","Tekanan dalam zat cair bertambah jika kedalaman bagaimana?","Semakin besar","Semakin kecil selalu","Tetap nol","Tidak berpengaruh","A","Semakin dalam posisi dalam zat cair, tekanannya semakin besar.",""
846,"Fisika","sulit","Hukum Archimedes berkaitan dengan gaya apa?","Gaya apung","Gaya gesek udara","Gaya pegas","Gaya listrik","A","Hukum Archimedes menjelaskan gaya apung pada benda yang dicelupkan ke fluida.",""
847,"Fisika","sulit","Benda terapung jika massa jenis benda dibanding fluida bagaimana?","Lebih kecil","Lebih besar","Sama dengan besi","Tidak punya massa","A","Benda terapung jika massa jenisnya lebih kecil daripada fluida.",""
848,"Fisika","sulit","Energi tidak dapat diciptakan atau dimusnahkan adalah prinsip apa?","Kekekalan energi","Pemuaian energi","Pembiasan energi","Penguapan energi","A","Prinsip kekekalan energi menyatakan energi hanya berubah bentuk.",""
849,"Fisika","sulit","Satuan frekuensi adalah apa?","Hertz","Newton","Pascal","Joule","A","Frekuensi diukur dalam Hertz.",""
850,"Fisika","sulit","Satu getaran per detik sama dengan berapa Hertz?","1 Hz","10 Hz","60 Hz","100 Hz","A","Satu Hertz berarti satu getaran atau siklus per detik.",""
851,"Astronomi","mudah","Planet terdekat dengan Matahari adalah apa?","Merkurius","Venus","Bumi","Mars","A","Merkurius adalah planet terdekat dengan Matahari.",""
852,"Astronomi","mudah","Planet tempat manusia tinggal adalah apa?","Bumi","Mars","Venus","Jupiter","A","Bumi adalah planet tempat manusia hidup.",""
853,"Astronomi","mudah","Satelit alami Bumi adalah apa?","Bulan","Matahari","Mars","Komet","A","Bulan adalah satelit alami Bumi.",""
854,"Astronomi","mudah","Bintang yang menjadi pusat tata surya adalah apa?","Matahari","Bulan","Jupiter","Sirius","A","Matahari adalah bintang pusat tata surya.",""
855,"Astronomi","mudah","Planet terbesar di tata surya adalah apa?","Jupiter","Saturnus","Bumi","Neptunus","A","Jupiter adalah planet terbesar di tata surya.",""
856,"Astronomi","mudah","Planet yang memiliki cincin paling terkenal adalah apa?","Saturnus","Merkurius","Mars","Venus","A","Saturnus terkenal karena sistem cincinnya yang besar dan mudah diamati.",""
857,"Astronomi","mudah","Planet merah adalah julukan untuk planet apa?","Mars","Venus","Merkurius","Uranus","A","Mars disebut planet merah karena permukaannya tampak kemerahan.",""
858,"Astronomi","mudah","Benda langit yang mengorbit Matahari dan memiliki ekor saat mendekat disebut apa?","Komet","Meteor","Satelit","Planet katai","A","Komet dapat membentuk ekor saat mendekati Matahari.",""
859,"Astronomi","mudah","Batu kecil dari luar angkasa yang masuk atmosfer dan berpijar disebut apa?","Meteor","Komet","Planet","Galaksi","A","Meteor tampak berpijar saat memasuki atmosfer Bumi.",""
860,"Astronomi","mudah","Kumpulan bintang, gas, dan debu dalam jumlah besar disebut apa?","Galaksi","Asteroid","Satelit","Meteor","A","Galaksi adalah sistem besar berisi bintang, gas, debu, dan materi lainnya.",""
861,"Astronomi","mudah","Galaksi tempat tata surya berada disebut apa?","Bimasakti","Andromeda","Triangulum","Magellan","A","Tata surya berada di Galaksi Bimasakti.",""
862,"Astronomi","mudah","Gerak Bumi berputar pada porosnya disebut apa?","Rotasi","Revolusi","Translasi garis","Presesi saja","A","Rotasi adalah gerak Bumi berputar pada porosnya.",""
863,"Astronomi","mudah","Gerak Bumi mengelilingi Matahari disebut apa?","Revolusi","Rotasi","Refleksi","Konveksi","A","Revolusi adalah gerak Bumi mengelilingi Matahari.",""
864,"Astronomi","mudah","Akibat rotasi Bumi adalah terjadinya apa?","Siang dan malam","Musim tahunan","Gerhana bulan selalu","Hujan meteor harian","A","Rotasi Bumi menyebabkan bagian Bumi bergantian mengalami siang dan malam.",""
865,"Astronomi","mudah","Akibat revolusi Bumi dan kemiringan sumbu adalah terjadinya apa?","Pergantian musim","Siang malam saja","Pasang surut langsung","Awan terbentuk","A","Revolusi Bumi bersama kemiringan sumbu memengaruhi pergantian musim.",""
866,"Astronomi","sedang","Waktu Bumi sekali berotasi kira-kira berapa?","24 jam","12 jam","7 hari","30 hari","A","Bumi membutuhkan sekitar 24 jam untuk satu kali rotasi.",""
867,"Astronomi","sedang","Waktu Bumi sekali berevolusi mengelilingi Matahari kira-kira berapa?","365 hari","24 jam","30 hari","7 hari","A","Bumi membutuhkan sekitar 365 hari untuk satu kali revolusi.",""
